cell_id,event_id,event_date,lat,lon,bmc_ward_code,rainfall_24h_mm,antecedent_rainfall_3d_mm,antecedent_rainfall_7d_mm,peak_hourly_rainfall_mm,elevation_mean_m,slope_mean_deg,builtup_fraction,water_fraction,vegetation_fraction,dist_to_water_m,dist_to_drainage_m,flood_area_m2,flood_fraction,observed_flooded
CELL_0011,EV_2019_07_02,2019-07-02,19.230038,72.778642,UNKNOWN,375.2,180.1,265.4,48.5,21.04,2.5,0.39,0.0,0.16,5784.7,5784.7,16450.0,0.0658,1
CELL_0012,EV_2019_07_02,2019-07-02,19.234553,72.778581,UNKNOWN,375.2,180.1,265.4,48.5,21.21,2.5,0.39,0.0,0.16,5655.5,5655.5,16450.0,0.0658,1
CELL_0013,EV_2019_07_02,2019-07-02,19.239069,72.77852,UNKNOWN,375.2,180.1,265.4,48.5,21.39,2.5,0.39,0.0,0.16,5568.4,5568.4,16450.0,0.0658,1
CELL_0014,EV_2019_07_02,2019-07-02,19.130758,72.784724,UNKNOWN,375.2,180.1,265.4,48.5,21.13,2.48,0.39,0.0,0.16,3820.8,3820.8,16450.0,0.0658,1
CELL_0015,EV_2019_07_02,2019-07-02,19.135273,72.784664,UNKNOWN,375.2,180.1,265.4,48.5,20.93,2.48,0.39,0.0,0.16,3849.8,3849.8,16450.0,0.0658,1
CELL_0016,EV_2019_07_02,2019-07-02,19.153335,72.784423,UNKNOWN,375.2,180.1,265.4,48.5,20.3,2.49,0.39,0.0,0.16,4550.9,4550.9,16450.0,0.0658,1
CELL_0017,EV_2019_07_02,2019-07-02,19.15785,72.784363,P/N,375.2,180.1,265.4,48.5,22.38,3.09,0.352,0.0,0.179,4840.8,4840.8,14850.0,0.0594,1
CELL_0018,EV_2019_07_02,2019-07-02,19.162366,72.784302,P/N,375.2,180.1,265.4,48.5,22.28,3.1,0.352,0.0,0.179,5162.9,5162.9,14850.0,0.0594,1
CELL_0019,EV_2019_07_02,2019-07-02,19.166881,72.784242,UNKNOWN,375.2,180.1,265.4,48.5,20.0,2.5,0.39,0.0,0.16,5511.6,5511.6,16450.0,0.0658,1
CELL_0020,EV_2019_07_02,2019-07-02,19.193973,72.783879,P/N,375.2,180.1,265.4,48.5,21.98,3.09,0.352,0.0,0.179,4526.4,4526.4,14850.0,0.0594,1
CELL_0021,EV_2019_07_02,2019-07-02,19.198488,72.783819,P/N,375.2,180.1,265.4,48.5,22.02,3.09,0.352,0.0,0.179,4528.9,4528.9,14850.0,0.0594,1
CELL_0022,EV_2019_07_02,2019-07-02,19.203004,72.783758,UNKNOWN,375.2,180.1,265.4,48.5,19.88,2.49,0.39,0.0,0.16,4586.2,4586.2,16450.0,0.0658,1
CELL_0023,EV_2019_07_02,2019-07-02,19.207519,72.783698,P/N,375.2,180.1,265.4,48.5,22.17,3.09,0.352,0.0,0.179,4696.4,4696.4,14850.0,0.0594,1
CELL_0024,EV_2019_07_02,2019-07-02,19.212034,72.783637,P/N,375.2,180.1,265.4,48.5,22.28,3.09,0.352,0.0,0.179,4855.8,4855.8,14850.0,0.0594,1
CELL_0025,EV_2019_07_02,2019-07-02,19.21655,72.783577,P/N,375.2,180.1,265.4,48.5,22.4,3.09,0.352,0.0,0.179,5059.7,5059.7,14850.0,0.0594,1
CELL_0026,EV_2019_07_02,2019-07-02,19.221065,72.783516,P/N,375.2,180.1,265.4,48.5,22.54,3.1,0.352,0.0,0.179,5303.1,5303.1,14850.0,0.0594,1
CELL_0027,EV_2019_07_02,2019-07-02,19.22558,72.783456,R/C,375.2,180.1,265.4,48.5,27.1,4.2,0.314,0.0,0.254,5492.7,5492.7,13250.0,0.053,1
CELL_0028,EV_2019_07_02,2019-07-02,19.230096,72.783395,R/C,375.2,180.1,265.4,48.5,27.26,4.19,0.314,0.0,0.254,5309.6,5309.6,13250.0,0.053,1
CELL_0029,EV_2019_07_02,2019-07-02,19.234611,72.783335,R/C,375.2,180.1,265.4,48.5,27.43,4.19,0.314,0.0,0.254,5168.6,5168.6,13250.0,0.053,1
CELL_0030,EV_2019_07_02,2019-07-02,19.239126,72.783274,R/C,375.2,180.1,265.4,48.5,27.62,4.19,0.314,0.0,0.254,5073.1,5073.1,13250.0,0.053,1
CELL_0031,EV_2019_07_02,2019-07-02,19.243642,72.783213,R/C,375.2,180.1,265.4,48.5,27.82,4.19,0.314,0.0,0.254,5025.9,5025.9,13250.0,0.053,1
CELL_0032,EV_2019_07_02,2019-07-02,19.248157,72.783153,R/C,375.2,180.1,265.4,48.5,28.04,4.19,0.314,0.0,0.254,5028.1,5028.1,13250.0,0.053,1
CELL_0033,EV_2019_07_02,2019-07-02,19.252672,72.783092,R/C,375.2,180.1,265.4,48.5,28.27,4.19,0.314,0.0,0.254,5079.8,5079.8,13250.0,0.053,1
CELL_0034,EV_2019_07_02,2019-07-02,19.257188,72.783031,R/C,375.2,180.1,265.4,48.5,28.52,4.19,0.314,0.0,0.254,5179.4,5179.4,13250.0,0.053,1
CELL_0035,EV_2019_07_02,2019-07-02,19.261703,72.782971,UNKNOWN,375.2,180.1,265.4,48.5,22.17,2.5,0.39,0.0,0.16,5324.4,5324.4,16450.0,0.0658,1
CELL_0036,EV_2019_07_02,2019-07-02,19.266218,72.78291,UNKNOWN,375.2,180.1,265.4,48.5,22.44,2.5,0.39,0.0,0.16,5511.0,5511.0,16450.0,0.0658,1
CELL_0037,EV_2019_07_02,2019-07-02,18.941166,72.791984,UNKNOWN,375.2,180.1,265.4,48.5,34.96,2.5,0.39,0.0,0.16,9935.2,9935.2,16450.0,0.0658,1
CELL_0038,EV_2019_07_02,2019-07-02,18.945682,72.791925,UNKNOWN,375.2,180.1,265.4,48.5,34.57,2.5,0.39,0.0,0.16,9446.2,9446.2,16450.0,0.0658,1
CELL_0039,EV_2019_07_02,2019-07-02,18.950197,72.791865,UNKNOWN,375.2,180.1,265.4,48.5,34.19,2.5,0.39,0.0,0.16,8958.4,8958.4,16450.0,0.0658,1
CELL_0040,EV_2019_07_02,2019-07-02,18.954713,72.791806,UNKNOWN,375.2,180.1,265.4,48.5,33.81,2.5,0.39,0.0,0.16,8472.0,8472.0,16450.0,0.0658,1
CELL_0041,EV_2019_07_02,2019-07-02,19.130815,72.789475,UNKNOWN,375.2,180.1,265.4,48.5,20.75,2.46,0.39,0.0,0.16,3320.8,3320.8,16450.0,0.0658,1
CELL_0042,EV_2019_07_02,2019-07-02,19.135331,72.789415,K/W,375.2,180.1,265.4,48.5,18.24,1.97,0.387,0.0,0.118,3354.1,3354.1,16325.0,0.0653,1
CELL_0043,EV_2019_07_02,2019-07-02,19.139846,72.789355,K/W,375.2,180.1,265.4,48.5,18.05,1.97,0.387,0.0,0.118,3460.2,3460.2,16325.0,0.0653,1
CELL_0044,EV_2019_07_02,2019-07-02,19.144361,72.789295,K/W,375.2,180.1,265.4,48.5,17.88,1.98,0.387,0.0,0.118,3632.5,3632.5,16325.0,0.0653,1
CELL_0045,EV_2019_07_02,2019-07-02,19.148877,72.789235,P/N,375.2,180.1,265.4,48.5,22.23,3.08,0.352,0.0,0.179,3862.3,3862.3,14850.0,0.0594,1
CELL_0046,EV_2019_07_02,2019-07-02,19.153392,72.789174,P/N,375.2,180.1,265.4,48.5,22.1,3.08,0.352,0.0,0.179,4140.1,4140.1,14850.0,0.0594,1
CELL_0047,EV_2019_07_02,2019-07-02,19.157907,72.789114,P/N,375.2,180.1,265.4,48.5,21.98,3.09,0.352,0.0,0.179,4456.8,4456.8,14850.0,0.0594,1
CELL_0048,EV_2019_07_02,2019-07-02,19.162423,72.789054,P/N,375.2,180.1,265.4,48.5,21.88,3.09,0.352,0.0,0.179,4804.7,4804.7,14850.0,0.0594,1
CELL_0049,EV_2019_07_02,2019-07-02,19.166938,72.788994,P/N,375.2,180.1,265.4,48.5,21.79,3.1,0.352,0.0,0.179,5155.9,5155.9,14850.0,0.0594,1
CELL_0050,EV_2019_07_02,2019-07-02,19.171454,72.788933,UNKNOWN,375.2,180.1,265.4,48.5,19.5,2.49,0.39,0.0,0.16,4858.6,4858.6,16450.0,0.0658,1
CELL_0051,EV_2019_07_02,2019-07-02,19.19403,72.788632,P/N,375.2,180.1,265.4,48.5,21.55,3.08,0.352,0.0,0.179,4027.1,4027.1,14850.0,0.0594,1
CELL_0052,EV_2019_07_02,2019-07-02,19.198546,72.788572,P/N,375.2,180.1,265.4,48.5,21.59,3.08,0.352,0.0,0.179,4029.9,4029.9,14850.0,0.0594,1
CELL_0053,EV_2019_07_02,2019-07-02,19.203061,72.788511,P/N,375.2,180.1,265.4,48.5,21.66,3.08,0.352,0.0,0.179,4094.2,4094.2,14850.0,0.0594,1
CELL_0054,EV_2019_07_02,2019-07-02,19.207577,72.788451,P/N,375.2,180.1,265.4,48.5,21.75,3.08,0.352,0.0,0.179,4217.3,4217.3,14850.0,0.0594,1
CELL_0055,EV_2019_07_02,2019-07-02,19.212092,72.788391,P/N,375.2,180.1,265.4,48.5,21.87,3.09,0.352,0.0,0.179,4394.1,4394.1,14850.0,0.0594,1
CELL_0056,EV_2019_07_02,2019-07-02,19.216607,72.78833,P/N,375.2,180.1,265.4,48.5,22.0,3.09,0.352,0.0,0.179,4618.5,4618.5,14850.0,0.0594,1
CELL_0057,EV_2019_07_02,2019-07-02,19.221123,72.78827,P/N,375.2,180.1,265.4,48.5,22.15,3.09,0.352,0.0,0.179,4883.9,4883.9,14850.0,0.0594,1
CELL_0058,EV_2019_07_02,2019-07-02,19.225638,72.788209,R/C,375.2,180.1,265.4,48.5,26.71,4.19,0.314,0.0,0.254,5039.7,5039.7,13250.0,0.053,1
CELL_0059,EV_2019_07_02,2019-07-02,19.230153,72.788149,R/C,375.2,180.1,265.4,48.5,26.88,4.19,0.314,0.0,0.254,4839.5,4839.5,13250.0,0.053,1
CELL_0060,EV_2019_07_02,2019-07-02,19.234669,72.788088,R/C,375.2,180.1,265.4,48.5,27.06,4.19,0.314,0.0,0.254,4684.4,4684.4,13250.0,0.053,1
CELL_0061,EV_2019_07_02,2019-07-02,19.239184,72.788028,R/C,375.2,180.1,265.4,48.5,27.25,4.19,0.314,0.0,0.254,4578.9,4578.9,13250.0,0.053,1
CELL_0062,EV_2019_07_02,2019-07-02,19.243699,72.787967,R/C,375.2,180.1,265.4,48.5,27.46,4.19,0.314,0.0,0.254,4526.4,4526.4,13250.0,0.053,1
CELL_0063,EV_2019_07_02,2019-07-02,19.248215,72.787907,R/C,375.2,180.1,265.4,48.5,27.69,4.19,0.314,0.0,0.254,4528.9,4528.9,13250.0,0.053,1
CELL_0064,EV_2019_07_02,2019-07-02,19.25273,72.787846,R/C,375.2,180.1,265.4,48.5,27.93,4.19,0.314,0.0,0.254,4586.2,4586.2,13250.0,0.053,1
CELL_0065,EV_2019_07_02,2019-07-02,19.257245,72.787786,R/C,375.2,180.1,265.4,48.5,28.18,4.19,0.314,0.0,0.254,4696.4,4696.4,13250.0,0.053,1
CELL_0066,EV_2019_07_02,2019-07-02,19.261761,72.787725,R/C,375.2,180.1,265.4,48.5,28.45,4.19,0.314,0.0,0.254,4855.8,4855.8,13250.0,0.053,1
CELL_0067,EV_2019_07_02,2019-07-02,19.266276,72.787664,UNKNOWN,375.2,180.1,265.4,48.5,22.12,2.5,0.39,0.0,0.16,5059.7,5059.7,16450.0,0.0658,1
CELL_0068,EV_2019_07_02,2019-07-02,18.941223,72.79673,UNKNOWN,375.2,180.1,265.4,48.5,34.83,2.5,0.39,0.0,0.16,9845.7,9845.7,16450.0,0.0658,1
CELL_0069,EV_2019_07_02,2019-07-02,18.945738,72.79667,D,375.2,180.1,265.4,48.5,28.04,1.1,0.421,0.0,0.063,9352.0,9352.0,17750.0,0.071,1
CELL_0070,EV_2019_07_02,2019-07-02,18.950254,72.796611,D,375.2,180.1,265.4,48.5,27.65,1.1,0.421,0.0,0.063,8859.0,8859.0,17750.0,0.071,1
CELL_0071,EV_2019_07_02,2019-07-02,18.954769,72.796552,D,375.2,180.1,265.4,48.5,27.27,1.1,0.421,0.0,0.063,8366.9,8366.9,17750.0,0.071,1
CELL_0072,EV_2019_07_02,2019-07-02,18.959285,72.796493,UNKNOWN,375.2,180.1,265.4,48.5,33.28,2.5,0.39,0.0,0.16,7875.7,7875.7,16450.0,0.0658,1
CELL_0073,EV_2019_07_02,2019-07-02,18.9638,72.796433,UNKNOWN,375.2,180.1,265.4,48.5,32.9,2.5,0.39,0.0,0.16,7385.8,7385.8,16450.0,0.0658,1
CELL_0074,EV_2019_07_02,2019-07-02,19.130872,72.794226,UNKNOWN,375.2,180.1,265.4,48.5,20.36,2.43,0.39,0.0,0.16,2820.8,2820.8,16450.0,0.0658,1
CELL_0075,EV_2019_07_02,2019-07-02,19.135388,72.794166,K/W,375.2,180.1,265.4,48.5,17.84,1.94,0.387,0.0,0.118,2860.0,2860.0,16325.0,0.0653,1
CELL_0076,EV_2019_07_02,2019-07-02,19.139903,72.794106,K/W,375.2,180.1,265.4,48.5,17.65,1.95,0.387,0.0,0.118,2983.6,2983.6,16325.0,0.0653,1
CELL_0077,EV_2019_07_02,2019-07-02,19.144418,72.794046,P/N,375.2,180.1,265.4,48.5,21.98,3.04,0.352,0.0,0.179,3181.9,3181.9,14850.0,0.0594,1
CELL_0078,EV_2019_07_02,2019-07-02,19.148934,72.793986,P/N,375.2,180.1,265.4,48.5,21.83,3.06,0.352,0.0,0.179,3441.9,3441.9,14850.0,0.0594,1
CELL_0079,EV_2019_07_02,2019-07-02,19.153449,72.793926,P/N,375.2,180.1,265.4,48.5,21.7,3.07,0.352,0.0,0.179,3750.9,3750.9,14850.0,0.0594,1
CELL_0080,EV_2019_07_02,2019-07-02,19.157965,72.793866,P/N,375.2,180.1,265.4,48.5,21.58,3.08,0.352,0.0,0.179,4097.8,4097.8,14850.0,0.0594,1
CELL_0081,EV_2019_07_02,2019-07-02,19.16248,72.793806,P/N,375.2,180.1,265.4,48.5,21.48,3.09,0.352,0.0,0.179,4473.7,4473.7,14850.0,0.0594,1
CELL_0082,EV_2019_07_02,2019-07-02,19.166995,72.793746,P/N,375.2,180.1,265.4,48.5,21.39,3.09,0.352,0.0,0.179,4776.2,4776.2,14850.0,0.0594,1
CELL_0083,EV_2019_07_02,2019-07-02,19.171511,72.793685,P/N,375.2,180.1,265.4,48.5,21.28,3.09,0.352,0.0,0.179,4453.6,4453.6,14850.0,0.0594,1
CELL_0084,EV_2019_07_02,2019-07-02,19.176026,72.793625,UNKNOWN,375.2,180.1,265.4,48.5,19.0,2.49,0.39,0.0,0.16,4166.2,4166.2,16450.0,0.0658,1
CELL_0085,EV_2019_07_02,2019-07-02,19.180542,72.793565,UNKNOWN,375.2,180.1,265.4,48.5,18.94,2.48,0.39,0.0,0.16,3921.7,3921.7,16450.0,0.0658,1
CELL_0086,EV_2019_07_02,2019-07-02,19.185057,72.793505,UNKNOWN,375.2,180.1,265.4,48.5,18.91,2.48,0.39,0.0,0.16,3728.6,3728.6,16450.0,0.0658,1
CELL_0087,EV_2019_07_02,2019-07-02,19.189572,72.793445,UNKNOWN,375.2,180.1,265.4,48.5,18.9,2.47,0.39,0.0,0.16,3595.1,3595.1,16450.0,0.0658,1
CELL_0088,EV_2019_07_02,2019-07-02,19.194088,72.793385,UNKNOWN,375.2,180.1,265.4,48.5,18.91,2.47,0.39,0.0,0.16,3528.0,3528.0,16450.0,0.0658,1
CELL_0089,EV_2019_07_02,2019-07-02,19.198603,72.793324,P/N,375.2,180.1,265.4,48.5,21.16,3.06,0.352,0.0,0.179,3531.2,3531.2,14850.0,0.0594,1
CELL_0090,EV_2019_07_02,2019-07-02,19.203118,72.793264,P/N,375.2,180.1,265.4,48.5,21.23,3.07,0.352,0.0,0.179,3604.5,3604.5,14850.0,0.0594,1
CELL_0091,EV_2019_07_02,2019-07-02,19.207634,72.793204,P/N,375.2,180.1,265.4,48.5,21.33,3.07,0.352,0.0,0.179,3743.6,3743.6,14850.0,0.0594,1
CELL_0092,EV_2019_07_02,2019-07-02,19.212149,72.793144,P/N,375.2,180.1,265.4,48.5,21.45,3.08,0.352,0.0,0.179,3941.7,3941.7,14850.0,0.0594,1
CELL_0093,EV_2019_07_02,2019-07-02,19.216665,72.793083,P/N,375.2,180.1,265.4,48.5,21.6,3.08,0.352,0.0,0.179,4190.4,4190.4,14850.0,0.0594,1
CELL_0094,EV_2019_07_02,2019-07-02,19.22118,72.793023,P/N,375.2,180.1,265.4,48.5,21.76,3.09,0.352,0.0,0.179,4481.3,4481.3,14850.0,0.0594,1
CELL_0095,EV_2019_07_02,2019-07-02,19.225695,72.792963,R/C,375.2,180.1,265.4,48.5,26.33,4.19,0.314,0.0,0.254,4596.5,4596.5,13250.0,0.053,1
CELL_0096,EV_2019_07_02,2019-07-02,19.230211,72.792902,R/C,375.2,180.1,265.4,48.5,26.5,4.18,0.314,0.0,0.254,4376.1,4376.1,13250.0,0.053,1
CELL_0097,EV_2019_07_02,2019-07-02,19.234726,72.792842,R/C,375.2,180.1,265.4,48.5,26.68,4.18,0.314,0.0,0.254,4203.9,4203.9,13250.0,0.053,1
CELL_0098,EV_2019_07_02,2019-07-02,19.239241,72.792782,R/C,375.2,180.1,265.4,48.5,26.88,4.17,0.314,0.0,0.254,4086.0,4086.0,13250.0,0.053,1
CELL_0099,EV_2019_07_02,2019-07-02,19.243757,72.792721,R/C,375.2,180.1,265.4,48.5,27.1,4.17,0.314,0.0,0.254,4027.1,4027.1,13250.0,0.053,1
CELL_0100,EV_2019_07_02,2019-07-02,19.248272,72.792661,R/C,375.2,180.1,265.4,48.5,27.33,4.17,0.314,0.0,0.254,4029.9,4029.9,13250.0,0.053,1
CELL_0101,EV_2019_07_02,2019-07-02,19.252787,72.7926,R/C,375.2,180.1,265.4,48.5,27.58,4.17,0.314,0.0,0.254,4094.2,4094.2,13250.0,0.053,1
CELL_0102,EV_2019_07_02,2019-07-02,19.257303,72.79254,R/C,375.2,180.1,265.4,48.5,27.85,4.18,0.314,0.0,0.254,4217.3,4217.3,13250.0,0.053,1
CELL_0103,EV_2019_07_02,2019-07-02,19.261818,72.79248,UNKNOWN,375.2,180.1,265.4,48.5,21.52,2.49,0.39,0.0,0.16,4394.1,4394.1,16450.0,0.0658,1
CELL_0104,EV_2019_07_02,2019-07-02,18.900639,72.802007,UNKNOWN,375.2,180.1,265.4,48.5,38.19,2.5,0.39,0.0,0.16,13669.5,13669.5,16450.0,0.0658,1
CELL_0105,EV_2019_07_02,2019-07-02,18.905155,72.801948,UNKNOWN,375.2,180.1,265.4,48.5,37.81,2.5,0.39,0.0,0.16,13355.8,13355.8,16450.0,0.0658,1
CELL_0106,EV_2019_07_02,2019-07-02,18.90967,72.801889,UNKNOWN,375.2,180.1,265.4,48.5,37.42,2.5,0.39,0.0,0.16,13053.7,13053.7,16450.0,0.0658,1
CELL_0107,EV_2019_07_02,2019-07-02,18.945795,72.801416,UNKNOWN,375.2,180.1,265.4,48.5,34.31,2.5,0.39,0.0,0.16,9283.8,9283.8,16450.0,0.0658,1
CELL_0108,EV_2019_07_02,2019-07-02,18.95031,72.801357,D,375.2,180.1,265.4,48.5,27.53,1.1,0.421,0.0,0.063,8787.0,8787.0,17750.0,0.071,1
CELL_0109,EV_2019_07_02,2019-07-02,18.954826,72.801298,D,375.2,180.1,265.4,48.5,27.14,1.1,0.421,0.0,0.063,8290.6,8290.6,17750.0,0.071,1
CELL_0110,EV_2019_07_02,2019-07-02,18.959341,72.801238,D,375.2,180.1,265.4,48.5,26.75,1.1,0.421,0.0,0.063,7794.7,7794.7,17750.0,0.071,1
CELL_0111,EV_2019_07_02,2019-07-02,18.963857,72.801179,D,375.2,180.1,265.4,48.5,26.36,1.1,0.421,0.0,0.063,7299.3,7299.3,17750.0,0.071,1
CELL_0112,EV_2019_07_02,2019-07-02,18.968372,72.80112,D,375.2,180.1,265.4,48.5,25.97,1.1,0.421,0.0,0.063,6804.5,6804.5,17750.0,0.071,1
CELL_0113,EV_2019_07_02,2019-07-02,18.972888,72.801061,UNKNOWN,375.2,180.1,265.4,48.5,31.98,2.5,0.39,0.0,0.16,6310.6,6310.6,16450.0,0.0658,1
CELL_0114,EV_2019_07_02,2019-07-02,18.977403,72.801001,UNKNOWN,375.2,180.1,265.4,48.5,31.59,2.5,0.39,0.0,0.16,5817.8,5817.8,16450.0,0.0658,1
CELL_0115,EV_2019_07_02,2019-07-02,19.135445,72.798917,K/W,375.2,180.1,265.4,48.5,17.43,1.9,0.387,0.0,0.118,2368.3,2368.3,16325.0,0.0653,1
CELL_0116,EV_2019_07_02,2019-07-02,19.13996,72.798857,P/N,375.2,180.1,265.4,48.5,21.74,2.97,0.352,0.0,0.179,2516.2,2516.2,14850.0,0.0594,1
CELL_0117,EV_2019_07_02,2019-07-02,19.144475,72.798797,P/N,375.2,180.1,265.4,48.5,21.57,3.0,0.352,0.0,0.179,2748.4,2748.4,14850.0,0.0594,1
CELL_0118,EV_2019_07_02,2019-07-02,19.148991,72.798737,P/N,375.2,180.1,265.4,48.5,21.43,3.03,0.352,0.0,0.179,3045.7,3045.7,14850.0,0.0594,1
CELL_0119,EV_2019_07_02,2019-07-02,19.153506,72.798677,P/N,375.2,180.1,265.4,48.5,21.3,3.06,0.352,0.0,0.179,3391.0,3391.0,14850.0,0.0594,1
CELL_0120,EV_2019_07_02,2019-07-02,19.158022,72.798617,P/N,375.2,180.1,265.4,48.5,21.18,3.07,0.352,0.0,0.179,3771.1,3771.1,14850.0,0.0594,1
CELL_0121,EV_2019_07_02,2019-07-02,19.162537,72.798557,P/N,375.2,180.1,265.4,48.5,21.08,3.08,0.352,0.0,0.179,4176.6,4176.6,14850.0,0.0594,1
CELL_0122,EV_2019_07_02,2019-07-02,19.167052,72.798497,P/N,375.2,180.1,265.4,48.5,20.98,3.09,0.352,0.0,0.179,4420.6,4420.6,14850.0,0.0594,1
CELL_0123,EV_2019_07_02,2019-07-02,19.171568,72.798437,P/N,375.2,180.1,265.4,48.5,20.87,3.08,0.352,0.0,0.179,4069.9,4069.9,14850.0,0.0594,1
CELL_0124,EV_2019_07_02,2019-07-02,19.176083,72.798377,P/N,375.2,180.1,265.4,48.5,20.78,3.07,0.352,0.0,0.179,3753.2,3753.2,14850.0,0.0594,1
CELL_0125,EV_2019_07_02,2019-07-02,19.180599,72.798317,P/N,375.2,180.1,265.4,48.5,20.71,3.06,0.352,0.0,0.179,3479.8,3479.8,14850.0,0.0594,1
CELL_0126,EV_2019_07_02,2019-07-02,19.185114,72.798257,P/N,375.2,180.1,265.4,48.5,20.66,3.05,0.352,0.0,0.179,3260.6,3260.6,14850.0,0.0594,1
CELL_0127,EV_2019_07_02,2019-07-02,19.189629,72.798197,P/N,375.2,180.1,265.4,48.5,20.65,3.04,0.352,0.0,0.179,3107.1,3107.1,14850.0,0.0594,1
CELL_0128,EV_2019_07_02,2019-07-02,19.194145,72.798137,P/N,375.2,180.1,265.4,48.5,20.66,3.03,0.352,0.0,0.179,3029.3,3029.3,14850.0,0.0594,1
CELL_0129,EV_2019_07_02,2019-07-02,19.19866,72.798077,P/N,375.2,180.1,265.4,48.5,20.71,3.03,0.352,0.0,0.179,3033.0,3033.0,14850.0,0.0594,1
CELL_0130,EV_2019_07_02,2019-07-02,19.203176,72.798017,P/N,375.2,180.1,265.4,48.5,20.79,3.04,0.352,0.0,0.179,3117.9,3117.9,14850.0,0.0594,1
CELL_0131,EV_2019_07_02,2019-07-02,19.207691,72.797957,P/N,375.2,180.1,265.4,48.5,20.9,3.05,0.352,0.0,0.179,3277.8,3277.8,14850.0,0.0594,1
CELL_0132,EV_2019_07_02,2019-07-02,19.212206,72.797897,P/N,375.2,180.1,265.4,48.5,21.04,3.06,0.352,0.0,0.179,3502.3,3502.3,14850.0,0.0594,1
CELL_0133,EV_2019_07_02,2019-07-02,19.216722,72.797837,P/N,375.2,180.1,265.4,48.5,21.19,3.07,0.352,0.0,0.179,3780.0,3780.0,14850.0,0.0594,1
CELL_0134,EV_2019_07_02,2019-07-02,19.221237,72.797776,P/N,375.2,180.1,265.4,48.5,21.37,3.08,0.352,0.0,0.179,4100.1,4100.1,14850.0,0.0594,1
CELL_0135,EV_2019_07_02,2019-07-02,19.225753,72.797716,R/C,375.2,180.1,265.4,48.5,25.94,4.18,0.314,0.0,0.254,4166.2,4166.2,13250.0,0.053,1
CELL_0136,EV_2019_07_02,2019-07-02,19.230268,72.797656,R/C,375.2,180.1,265.4,48.5,26.11,4.17,0.314,0.0,0.254,3921.7,3921.7,13250.0,0.053,1
CELL_0137,EV_2019_07_02,2019-07-02,19.234783,72.797596,R/C,375.2,180.1,265.4,48.5,26.3,4.16,0.314,0.0,0.254,3728.6,3728.6,13250.0,0.053,1
CELL_0138,EV_2019_07_02,2019-07-02,19.239299,72.797536,R/C,375.2,180.1,265.4,48.5,26.51,4.15,0.314,0.0,0.254,3595.1,3595.1,13250.0,0.053,1
CELL_0139,EV_2019_07_02,2019-07-02,19.243814,72.797475,R/C,375.2,180.1,265.4,48.5,26.73,4.15,0.314,0.0,0.254,3528.0,3528.0,13250.0,0.053,1
CELL_0140,EV_2019_07_02,2019-07-02,19.248329,72.797415,R/C,375.2,180.1,265.4,48.5,26.98,4.15,0.314,0.0,0.254,3531.2,3531.2,13250.0,0.053,1
CELL_0141,EV_2019_07_02,2019-07-02,19.252845,72.797355,R/C,375.2,180.1,265.4,48.5,27.24,4.15,0.314,0.0,0.254,3604.5,3604.5,13250.0,0.053,1
